order_id,user_id,product,amount,date
O001,1,P001,999,2024-01-20
O002,1,P002,29,2024-01-25
O003,2,P003,450,2024-02-15
O004,2,P005,12,2024-02-20
O005,3,P001,999,2024-01-18
O006,3,P004,350,2024-03-10
O007,4,P006,25,2024-03-15
O008,4,P002,29,2024-03-20
O009,5,P003,450,2024-02-28
O010,5,P001,999,2024-03-05
O011,1,P004,350,2024-02-10
O012,2,P006,25,2024-03-01
O013,3,P005,12,2024-02-22
O014,4,P001,999,2024-03-25
O015,5,P002,29,2024-03-15
O003,2,P003,450,2024-02-15
O016,1,P005,,2024-03-10
O007,4,P006,25,2024-03-15
O017,3,P002,,2024-03-20
